authorId,field,score
5113799,71924100,1.3674853999999999
7574581,41008148,2.7619781180000005
7574581,138885662,2.7619781180000005
8319301,41008148,4.326223967000001
8778049,121332964,1.075927496
8778049,192562407,1.075927496
9385295,41008148,1.2213389
9761453,41008148,1.2213389
9862640,121332964,0.520209849
9862640,127313418,0.520209849
19148534,86803240,1.131284034
19148534,185592680,1.131284034
20256961,138885662,3.6246989949999997
22492467,41008148,7.160024777000001
36335964,15744967,1.587558355
36335964,144024400,1.587558355
37293949,41008148,1.09862387
37321768,138885662,0.5554375
40729744,41008148,2.9639689949999997
57091189,33923547,1.1875470000000001
71917633,41008148,0.5911360379999999
77466784,71924100,1.645954073
81737176,41008148,1.088146563
85450205,121332964,0.520209849
85450205,127313418,0.520209849
95478441,71924100,1.645954073
96414994,71924100,3.7994542489999996
97662032,121332964,1.6421991
97662032,127413603,1.6421991
102786251,71924100,1.6946721
109852100,121332964,1.1867628
115959345,71924100,1.070236753
120769143,138885662,3.6246989949999997
122076393,86803240,2.7965746000000005
123621675,41008148,7.160024777000001
131295039,121332964,1.6421991
131295039,127413603,1.6421991
131708003,86803240,0.6127465
131708003,127313418,0.6127465
134651100,71924100,0.5815667
134651100,86803240,0.5815667
135043647,71924100,1.3674853999999999
135218249,41008148,3.7936199820000005
137733504,71924100,0.7117268440000001
137733504,138885662,0.7117268440000001
137981791,121332964,1.1867628
138608874,86803240,1.1059748
138608874,127413603,1.1059748
139976243,15744967,1.1800925000000002
139976243,144024400,1.1800925000000002
141409869,33923547,0.5705332
141409869,138885662,0.5705332
149617512,15744967,2.673975854
149617512,71924100,2.673975854
153138174,71924100,0.5167904000000001
153138174,86803240,0.5167904000000001
156335050,71924100,3.2275727969999997
161722614,71924100,1.6228169920000002
161722614,86803240,1.6228169920000002
162586923,41008148,3.3912694649999997
163872599,41008148,0.5101303460000001
163872599,162324750,0.5101303460000001
187457846,71924100,1.1216578
192215288,15744967,0.5312013000000001
192215288,71924100,0.5312013000000001
192215288,86803240,0.5312013000000001
192576500,15744967,0.505255044
192576500,41008148,0.505255044
192576500,71924100,0.505255044
192576500,86803240,0.505255044
197182449,71924100,2.752418645
197182449,86803240,2.752418645
202371793,71924100,3.9483895250000005
210738978,86803240,1.5618876599999998
211350690,121332964,1.082342804
213686533,41008148,1.87537545
216373294,138885662,4.010363066999999
216858715,138885662,1.0380674
216890834,86803240,0.6037899
217423566,41008148,0.5101303460000001
217423566,162324750,0.5101303460000001
218416969,41008148,1.088146563
220887178,33923547,0.639270067
220887178,41008148,0.639270067
226889689,86803240,1.2048748
227969851,15744967,1.1800925000000002
227969851,144024400,1.1800925000000002
233027794,17744445,1.1257378
235178846,121332964,1.6421991
235178846,127413603,1.6421991
235638822,71924100,2.752418645
235638822,86803240,2.752418645
237744216,41008148,1.87537545
238742235,86803240,1.0633921000000002
238742235,185592680,1.0633921000000002
250125303,71924100,0.5690105999999999
250125303,86803240,0.5690105999999999
250125303,185592680,0.5690105999999999
254798079,17744445,3.8023418700000002
256053884,86803240,0.600861132
256053884,185592680,0.600861132
256806258,86803240,0.602787256
258625424,71924100,0.61841923
258625424,86803240,0.61841923
259556368,15744967,1.2987201000000002
262252782,127413603,0.5400929
262252782,185592680,0.5400929
262252782,192562407,0.5400929
266507847,127413603,0.551960349
266507847,192562407,0.551960349
277702966,15744967,1.2529442
277702966,144024400,1.2529442
292413827,17744445,4.7194263770000004
292488652,17744445,0.578167856
292723781,71924100,1.9037277879999999
292723781,86803240,1.9037277879999999
295358952,71924100,0.5167904000000001
295358952,86803240,0.5167904000000001
295903556,71924100,2.654241564
296324666,121332964,0.520209849
296324666,127313418,0.520209849
300560611,71924100,1.285220353
300560611,86803240,1.285220353
300560611,185592680,1.285220353
301627918,71924100,1.9037277879999999
301627918,86803240,1.9037277879999999
301951692,41008148,4.460776762
308659801,138885662,1.135351234
309295665,71924100,3.9483895250000005
311448312,162324750,1.605939807
321004218,86803240,1.131284034
321004218,185592680,1.131284034
322156633,86803240,1.131284034
322156633,185592680,1.131284034
322773830,86803240,1.0633921000000002
322773830,185592680,1.0633921000000002
325120981,185592680,0.502624869
325120981,192562407,0.502624869
329142238,41008148,4.9532074029999995
329142238,127413603,4.9532074029999995
330641710,41008148,1.088146563
332443050,41008148,5.088505765
339989864,86803240,1.131284034
339989864,185592680,1.131284034
346264826,86803240,1.6142251220000001
349101892,142362112,1.0738042
355003309,121332964,1.5823311539999998
358499567,71924100,1.5647531289999999
363785928,15744967,0.607518852
363785928,33923547,0.607518852
370125594,15744967,0.6348227
370125594,121332964,0.6348227
370125594,205649164,0.6348227
